anotador,anillador,codigo,talla_anillo,numero_anillo,nombre_especie,codigo_especie,edad,edad_por,edad_por,sexo, sexo_por, sexo_por,codigo_ciclo,protuberancia_cloacal,parche_Incubacion,grasa,muda_cuerpo,muda_vuelo,desgaste_vuelo,plumaje_juvenil,limite_muda,limite_muda,osificacion,ala,cola,tarso,l_pico,a_pico,n_pico,peso,estado,dia,mes,anho,hora_captura,estacion,red,notas,Fotos,limite,limite_2,muda_vuelo,cmen,cmed1,cmed2,cmed3,cmed4,cmed5,cmed6,cmed7,cmed8,cmed9,cmed10,cmay1,cmay2,cmay3,cmay4,cmay5,cmay6,cmay7,cmay8,cmay9,cmay10,cc,a1,a2,a3,cprim1,cprim2,cprim3,cprim4,cprim5,cprim6,cprim7,cprim8,cprim9,cprim10,sec9,sec8,sec7,sec6,sec5,sec4,sec3,sec2,sec1,prim1,prim2,prim3,prim4,prim5,prim6,prim7,prim8,prim9,prim10,rec_izq6,rec_izq5,rec_izq4,rec_izq3,rec_izq2,rec_izq1,rec_der1,rec_der2,rec_der3,rec_der4,rec_der5,rec_der6,notas_muda
RPP,RPP,N,B,12643,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,M,N,N,N,N,I,N,N,,6,67,62,21.7,8.4,4.1,5.5,13.8,N,13,3,2019,1434,TR08,2,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGO,RPP,N,B,12645,Myiothlypis fraseri,MYIFRA,P,J,R,D,D,,FPJ,,B,,,,,,,,,,,,,,,,N,13,3,2019,1455,TR08,3,LIBERADO POR TIEMPO,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12646,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,L,N,N,N,L,N,N,,6,60,55,21.3,8.1,3.9,5.4,11.6,N,16,3,2019,757,TR08,1,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12647,Myiothlypis fraseri,MYIFRA,P,J,L,D,D,,FPF,N,N,N,M,N,L,P,N,,4,61,57,21.6,7.7,3.9,5.5,13.5,N,16,3,2019,806,TR08,2,POSIBLEMENTE TENGA PREFORMATIVA PARCIAL,SI,N ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12648,Myiothlypis fraseri,MYIFRA,P,J,L,D,D,,FPF,N,N,N,B,N,N,M,N,,,56,52,21.7,7.6,3.6,5.5,,N,16,3,2019,840,TR08,3,SE ESCAP‡ DEL ANILLADOR,SI,N ,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12649,Myiothlypis fraseri,MYIFRA,A,W,K,H,I,,DPB,N,L,N,N,S,M,N,N,,6,58,52,21.9,7.7,4,5.5,13.3,N,16,3,2019,1135,TR08,1,TERCIARIAS MUDANDO,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12650,Myiothlypis fraseri,MYIFRA,P,L,J,D,D,,FPF,N,N,N,M,N,I,M,N,,3,59,50,21,7.7,3.7,5.4,13.8,N,16,3,2019,1132,TR08,1,,SI,N ,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12651,Myiothlypis fraseri,MYIFRA,P,J,F,D,D,,FPF,N,N,N,B,N,N,M,N,,D,63,56,22.6,7.5,3.8,5.5,15.3,N,18,3,2019,744,TR08,7,POSIBLEMENTE INICIANDO PREFORMATIVA PARCIAL, NO SE PUDO OBSERVAR OSIFICACI‡N YA QUE TEN÷A MUCHOS CA•ONES EN CRµNEO,SI,N ,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12659,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,I,N,N,,6,65,60,22.8,8.4,4.2,5.5,13.5,N,19,3,2019,843,TR09,10,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12660,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,N,N,N,,6,66,61,23.1,9.1,4.2,5.4,14.1,N,19,3,2019,1010,TR09,9,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12661,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,I,N,N,,6,66,63,22.9,8.5,4,5.4,13.9,N,19,3,2019,1125,TR09,8,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,DGO,N,B,12662,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,B,N,N,,,67,63,23.2,8.6,4.6,5.6,15.3,N,19,3,2019,1209,TR09,9,LONGITUD DE LA CORONA AMARILLA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGO,DGO,N,B,12663,Myiothlypis fraseri,MYIFRA,A,K,I,H,I,,DCB,N,V,N,N,N,M,N,N,,,61,56,22.1,8.7,4.1,5.5,13.3,N,19,3,2019,1258,TR09,10,LONGITUD DE LA CORONA AMARILLA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12664,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,I,N,N,,6,67,63,22.7,8.7,4,5.4,14.1,N,21,3,2019,840,TR09,9,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12665,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,M,N,N,N,N,L,N,N,,6,64,60,21.6,8.5,4,5.2,12.6,N,22,3,2019,740,TR09,5,LONGITUD DE LA CORONA AMARILLA 18 MM,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12666,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,L,N,N,,,64,58,22.7,8.5,3.5,5.4,13.5,N,22,3,2019,1035,TR09,10,LONGITUD DE LA CORONA AMARILLA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12667,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,,67,61,22.4,8.3,4.5,5.4,14,N,22,3,2019,1038,TR09,10,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12668,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,M,N,N,N,N,L,N,N,,6,61,,23.5,8.7,4.1,5.4,13.8,N,25,3,2019,946,TR11,8,SOLT‡ COLA, LCA 17MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12669,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,B,N,N,N,M,N,N,,,61,55,22.4,8.5,3.9,5.5,13.4,N,26,3,2019,730,TR11,5,LCA 15 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12671,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,I,N,N,,,69,64,23.3,8.7,4,5.5,14.1,N,26,3,2019,1035,TR11,10,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12673,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,B,N,N,,6,66,61,23.7,8.4,3.9,5.6,13.5,N,27,3,2019,721,TR10,6,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12674,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,,67,61,22.5,8.2,4.2,5.7,14.7,N,27,3,2019,855,TR10,7,LCA 17MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12675,Myiothlypis fraseri,MYIFRA,P,J,L,D,D,,FPF,N,N,N,M,N,N,P,N,,D,63,58,23.4,7.5,4.2,5.4,15.7,N,27,3,2019,857,TR10,7,LCA 14MM /  CM 1-3(5) 4-10(1),SI,N ,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12676,Myiothlypis fraseri,MYIFRA,P,J,,D,D,,FPF,N,N,N,B,N,N,P,N,,,62,57,22.1,7.4,3.8,5.6,14.4,N,27,3,2019,900,TR10,7,LCA 15 MM, VOLVI‡ A CAER EN LA RED 5 A LAS 11:38 /  CM 1-3(5) 4-10(1),SI,N ,,,,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12677,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,A,I,N,N,M,N,N,,,59,56,21.6,8.1,4.2,5.5,11.8,N,27,3,2019,902,TR10,7,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12678,Myiothlypis fraseri,MYIFRA,P,J,,D,D,,FPF,N,N,N,B,N,I,P,N,,D,63,56,23.2,7.6,3.8,5.4,15.2,N,27,3,2019,900,TR10,7,LCA 16 MM ,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12680,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,,65,61,22.5,8.3,4,5.5,15.3,N,27,3,2019,1050,TR10,5,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12681,Myiothlypis fraseri,MYIFRA,P,L,J,D,D,,FPF,N,N,N,M,N,N,P,N,,,58,53,22.2,7.9,4.1,5.5,12.7,N,28,3,2019,709,TR10,6,LCA 14 MM, BASE DE PLUMAS DE LA CORONA AMARRILLA Y DE LA MITAD HACIA ARRIBA NARANJA,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12682,Myiothlypis fraseri,MYIFRA,P,L,F,D,D,,FPF,N,N,N,L,N,N,P,N,,3,57,53,22.1,7.3,4,5.3,12.5,N,28,3,2019,1129,TR10,5,LCA 16 MM, POSIBLEMENTE FINALIZANDO SU PREFORMATIVA,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12683,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,M,N,L,N,M,N,N,,,58,51,22.5,8.7,4,5.5,14.3,N,28,3,2019,1132,TR10,7,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12684,Myiothlypis fraseri,MYIFRA,A,K,,D,D,,DPB,N,N,N,B,S,I,N,N,,6,69,60,22.2,8.6,3.9,5.5,14.5,N,29,3,2019,749,TR11,9,LCA 16 MM / HM 66,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,0,0,0,0,0,0,5,4,4,2,1,0,0,0,0,X,,,,,,,,,,,,,
RPP,RPP,N,B,12685,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,V,I,N,N,M,N,N,,6,61,66,22.7,8.5,4.1,5.4,12.5,N,29,3,2019,826,TR11,1,LCA 16 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12686,Myiothlypis fraseri,MYIFRA,P,J,F,D,D,,FCF,N,N,N,L,N,I,P,V,A,3,63,61,21.8,8.1,3.9,5.4,13.7,N,29,3,2019,828,TR11,1,LCA 17 MM,SI,V,A,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12687,Myiothlypis fraseri,MYIFRA,P,J,F,D,D,,FCF,N,N,I,L,N,I,P,V,A,3,64,59,22.9,8.2,4,5.5,14.5,N,29,3,2019,830,TR11,1,LCA 16 MM,SI,V,A,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12688,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,,68,62,23.2,8.7,4.3,5.7,15.4,N,29,3,2019,1235,TR11,4,LCA 17 MM,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12689,Myiothlypis fraseri,MYIFRA,A,K,,D,D,,DPB,N,N,N,B,S,E,N,N,,6,59,54,23,8.4,4,5.5,,N,7,4,2019,1049,TR03,5,HM 80,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,x,,,,,,,,,,,,,
RPP,TAV,N,B,12691,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,6,67,61,22.9,8.8,4.2,5.4,14.4,N,8,4,2019,824,TR05,9,LCA 17 MM,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12692,Myiothlypis fraseri,MYIFRA,P,J,F,D,D,,FCF,N,N,N,L,N,I,P,V,A,3,63,59,23.3,8.5,4.1,5.6,13.1,N,10,4,2019,741,TR02,7,LCA 17 MM, PLUMAS DE LA CORONA CON PUNTAS NARANJAS, POSIBLEMENTE TERMINANDO SU FPF,SI,V,A,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,TAV,N,B,12694,Myiothlypis fraseri,MYIFRA,P,J,L,D,D,,FCF,N,N,N,L,N,L,P,V,A,2,63,59,22.4,8.8,4.3,5.6,13.2,N,10,4,2019,1134,TR02,7,COBERTORAS MAYORES INTERNAS REEMPLAZADAS Y COB MAY EXTERNAS RETENIDAS,SI,V,A,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,U,,99996,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,,64,63,23.1,8.3,4.1,6,12.9,M,7,4,2019,845,TR03,10,,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,R,B,12663,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,L,I,N,N,M,N,N,,,61,56,22.1,8.8,4.3,5.6,12.6,N,21,3,2019,838,TR09,9,VOLVI‡ A CAER EN LA RED 9 A LAS 12:40,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,R,B,12660,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,I,N,N,I,N,N,,,66,60,23.1,8.7,4,5.5,14.8,N,22,3,2019,1155,TR09,4,17 mm DE CORONA AMARILLA,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,R,B,12663,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,L,I,N,N,M,N,N,,,61,56,22.1,8.8,4.3,5.6,13.8,N,22,3,2019,1315,TR09,7,,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,R,B,12671,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,L,N,N,,,70,64,23.3,9.1,4.1,5.8,14.3,N,29,3,2019,1307,TR11,10,LCA 16 mm,,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHO ,LHO ,N,B,12412,Myiothlypis fraseri,MYIFRA,P,S,M,D,D,,FCF,N,N,I,N,N,I,N,V,A,2,59,54,23.3,9.1,3.9,5.5,13.2,N,18,5,2019,700,TR02 ,1,LCA 14.7 DE CORONA, CORONA CON VERDE ,SI,V,A,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,LHO ,N,B,12413,Myiothlypis fraseri,MYIFRA,P,M,S,D,D,,FCF,N,N,L,N,N,L,N,V,C,3,59,55,21.9,8.1,4.2,5.1,12.1,N,18,5,2019,701,TR02 ,2,,SI,V,C,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12418,Myiothlypis fraseri,MYIFRA,P,M,O,D,D,,FCF,N,N,N,I,N,L,P,V,C,3,64,58,21.8,8.4,4,5.7,,N,18,5,2019,822,TR02 ,4,LCA 14,SI,V,C,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12419,Myiothlypis fraseri,MYIFRA,P,M,,D,D,,FCF,N,N,N,N,N,L,P,V,A,2,63,58,23.4,8.4,4.2,5.4,12.8,N,18,5,2019,822,TR02 ,3,LCA 13.8,SI,V,A,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12420,Myiothlypis fraseri,MYIFRA,P,M,O,D,D,,FCF,N,N,N,N,N,L,P,V,,3,62,59,23,8.4,4.1,5.5,11.8,N,18,5,2019,820,TR02 ,7,,NO,V,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
